CDG,DT_Abert,Dia_Semana,Tipo,QTD,Produto,Categoria,Valor_Un,Valor_Total,DT_Fech
3054,15/07/2024 16:56,segunda-feira,Delivery    ,1,Hot Dog com Bacon e Catupiry,Hot Dog,"36,90","36,90",15/07/2024 17:31
3059,15/07/2024 18:40,segunda-feira,Delivery    ,1,Hot Dog Catupiry,Hot Dog,"28,90","28,90",15/07/2024 18:59
3059,15/07/2024 18:40,segunda-feira,Delivery    ,1,Coca-Cola Original 350mL,Refrigerantes,"6,00","6,00",15/07/2024 18:59
3061,16/07/2024 11:29,terça-feira,Delivery    ,1,Hot Dog Simples,Hot Dog,"20,90","20,90",16/07/2024 12:15
3075,16/07/2024 12:59,terça-feira,Delivery    ,1,Hot Dog Nervoso,Hot Dog,"30,90","30,90",16/07/2024 13:37
3093,16/07/2024 16:25,terça-feira,Delivery    ,2,Hot Dog Seladinho,Hot Dog,"23,90","47,80",16/07/2024 17:16
3103,16/07/2024 18:31,terça-feira,Delivery    ,1,Hot Dog Nervoso,Hot Dog,"30,90","30,90",16/07/2024 19:09
3104,16/07/2024 18:33,terça-feira,Delivery    ,1,Hot Dog Nervoso,Hot Dog,"30,90","30,90",16/07/2024 19:09
3104,16/07/2024 18:33,terça-feira,Delivery    ,2,Coca-Cola Original 200mL,Refrigerantes,"3,00","6,00",16/07/2024 19:09
3105,16/07/2024 18:38,terça-feira,Delivery    ,1,Hot Dog Nervoso,Hot Dog,"30,90","30,90",16/07/2024 19:17
3106,16/07/2024 18:40,terça-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",16/07/2024 19:12
3106,16/07/2024 18:40,terça-feira,Delivery    ,1,Bacon 60g,Complemento,"8,00","8,00",16/07/2024 19:12
3108,16/07/2024 18:46,terça-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",16/07/2024 19:22
3121,17/07/2024 12:31,quarta-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",17/07/2024 13:04
3153,18/07/2024 12:25,quinta-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",18/07/2024 13:04
3157,18/07/2024 13:04,quinta-feira,Delivery    ,1,Hot Dog com Bacon e Catupiry,Hot Dog,"36,90","36,90",18/07/2024 13:38
3171,18/07/2024 18:27,quinta-feira,Delivery    ,1,Hot Dog Nervoso,Hot Dog,"30,90","30,90",18/07/2024 19:06
3171,18/07/2024 18:27,quinta-feira,Delivery    ,1,Bacon 60g,Complemento,"8,00","8,00",18/07/2024 19:06
3189,19/07/2024 12:41,sexta-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",19/07/2024 13:07
3189,19/07/2024 12:41,sexta-feira,Delivery    ,2,Coca-Cola Zero 350mL,Refrigerantes,"6,00","12,00",19/07/2024 13:07
3196,19/07/2024 13:34,sexta-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",19/07/2024 15:09
3196,19/07/2024 13:34,sexta-feira,Delivery    ,1,Salsicha,Complemento,"4,00","4,00",19/07/2024 15:09
3205,19/07/2024 14:53,sexta-feira,Delivery    ,2,Hot Dog Seladinho,Hot Dog,"23,90","47,80",19/07/2024 15:35
3205,19/07/2024 14:53,sexta-feira,Delivery    ,2,Coca-Cola Zero 200mL,Refrigerantes,"3,00","6,00",19/07/2024 15:35
3246,22/07/2024 13:07,segunda-feira,Delivery    ,2,Hot Dog Seladinho,Hot Dog,"23,90","47,80",22/07/2024 18:05
3246,22/07/2024 13:07,segunda-feira,Delivery    ,1,Coca-Cola Original 200mL,Refrigerantes,"3,00","3,00",22/07/2024 18:05
3250,22/07/2024 13:24,segunda-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",22/07/2024 18:05
3256,22/07/2024 14:44,segunda-feira,Delivery    ,2,Hot Dog Seladinho,Hot Dog,"23,90","47,80",22/07/2024 15:06
3256,22/07/2024 14:44,segunda-feira,Delivery    ,1,Coca-Cola Original 600mL,Refrigerantes,"8,00","8,00",22/07/2024 15:06
3257,22/07/2024 15:30,segunda-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",22/07/2024 18:05
3265,22/07/2024 18:36,segunda-feira,Delivery    ,1,Hot Dog com Bacon e Catupiry,Hot Dog,"36,90","36,90",22/07/2024 19:20
3275,23/07/2024 13:14,terça-feira,Delivery    ,1,Hot Dog Catupiry,Hot Dog,"28,90","28,90",23/07/2024 14:15
3275,23/07/2024 13:14,terça-feira,Delivery    ,1,Guaraná Antárctica 200mL,Refrigerantes,"3,00","3,00",23/07/2024 14:15
3277,23/07/2024 13:38,terça-feira,Delivery    ,1,Hot Dog Nervoso,Hot Dog,"30,90","30,90",23/07/2024 14:15
3282,23/07/2024 15:06,terça-feira,Delivery    ,1,Hot Dog com Bacon e Catupiry,Hot Dog,"36,90","36,90",23/07/2024 15:34
3289,24/07/2024 11:18,quarta-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",24/07/2024 12:07
3289,24/07/2024 11:18,quarta-feira,Delivery    ,1,Bacon 60g,Complemento,"8,00","8,00",24/07/2024 12:07
3289,24/07/2024 11:18,quarta-feira,Delivery    ,1,Coca-Cola Original 200mL,Refrigerantes,"3,00","3,00",24/07/2024 12:07
3306,24/07/2024 15:29,quarta-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",24/07/2024 16:04
3322,25/07/2024 12:19,quinta-feira,Delivery    ,1,Hot Dog com Bacon e Catupiry,Hot Dog,"36,90","36,90",25/07/2024 13:05
3342,25/07/2024 16:42,quinta-feira,Delivery    ,2,Hot Dog Nervoso,Hot Dog,"30,90","61,80",25/07/2024 17:27
3342,25/07/2024 16:42,quinta-feira,Delivery    ,2,Bacon 60g,Complemento,"8,00","16,00",25/07/2024 17:27
3377,26/07/2024 16:31,sexta-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",26/07/2024 17:06
3377,26/07/2024 16:31,sexta-feira,Delivery    ,1,Fanta Laranja 350mL,Refrigerantes,"6,00","6,00",26/07/2024 17:06
3415,30/07/2024 11:44,terça-feira,Delivery    ,1,Hot Dog com Bacon e Catupiry,Hot Dog,"36,90","36,90",30/07/2024 12:20
3415,30/07/2024 11:44,terça-feira,Delivery    ,1,Coca-Cola Zero 200mL,Refrigerantes,"3,00","3,00",30/07/2024 12:20
3419,30/07/2024 12:20,terça-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",30/07/2024 13:50
3419,30/07/2024 12:20,terça-feira,Delivery    ,1,Bacon 60g,Complemento,"8,00","8,00",30/07/2024 13:50
3419,30/07/2024 12:20,terça-feira,Delivery    ,1,Coca-Cola Original 200mL,Refrigerantes,"3,00","3,00",30/07/2024 13:50
3428,30/07/2024 13:26,terça-feira,Delivery    ,1,Hot Dog Nervoso,Hot Dog,"30,90","30,90",30/07/2024 13:50
3439,30/07/2024 17:28,terça-feira,Delivery    ,1,Hot Dog Nervoso,Hot Dog,"30,90","30,90",30/07/2024 18:01
3453,31/07/2024 13:22,quarta-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",31/07/2024 13:50
3453,31/07/2024 13:22,quarta-feira,Delivery    ,1,Guaraná Antárctica 350mL,Refrigerantes,"6,00","6,00",31/07/2024 13:50
3463,31/07/2024 16:16,quarta-feira,Delivery    ,1,Hot Dog Catupiry,Hot Dog,"28,90","28,90",31/07/2024 16:52
3463,31/07/2024 16:16,quarta-feira,Delivery    ,1,Hot Dog Nervoso,Hot Dog,"30,90","30,90",31/07/2024 16:52
3473,31/07/2024 18:38,quarta-feira,Delivery    ,2,Hot Dog Nervoso,Hot Dog,"30,90","61,80",31/07/2024 19:04
3473,31/07/2024 18:38,quarta-feira,Delivery    ,2,Coca-Cola Original 600mL,Refrigerantes,"8,00","16,00",31/07/2024 19:04
3473,31/07/2024 18:38,quarta-feira,Delivery    ,2,Fanta Laranja 350mL,Refrigerantes,"6,00","12,00",31/07/2024 19:04
3492,01/08/2024 14:27,quinta-feira,Delivery    ,1,Hot Dog Nervoso,Hot Dog,"30,90","30,90",01/08/2024 14:46
3509,02/08/2024 10:35,sexta-feira,Delivery    ,2,Hot Dog Catupiry,Hot Dog,"28,90","57,80",02/08/2024 11:38
3510,02/08/2024 11:08,sexta-feira,Delivery    ,1,Boizinho Bacon,Hambúrguer,"33,90","33,90",02/08/2024 11:46
3526,02/08/2024 13:12,sexta-feira,Delivery    ,1,Hot Dog com Bacon e Catupiry,Hot Dog,"36,90","36,90",02/08/2024 13:47
3526,02/08/2024 13:12,sexta-feira,Delivery    ,1,Coca-Cola Zero 200mL,Refrigerantes,"3,00","3,00",02/08/2024 13:47
3531,02/08/2024 14:04,sexta-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",02/08/2024 14:38
3544,02/08/2024 17:30,sexta-feira,Delivery    ,3,Hot Dog Seladinho,Hot Dog,"23,90","71,70",02/08/2024 18:21
3555,03/08/2024 12:11,sábado,Delivery    ,4,Hot Dog Seladinho,Hot Dog,"23,90","95,60",03/08/2024 12:59
3555,03/08/2024 12:11,sábado,Delivery    ,3,Coca-Cola Original 200mL,Refrigerantes,"3,00","9,00",03/08/2024 12:59
3575,05/08/2024 15:16,segunda-feira,Delivery    ,2,Hot Dog Nervoso,Hot Dog,"30,90","61,80",05/08/2024 15:52
3583,05/08/2024 18:14,segunda-feira,Delivery    ,2,Hot Dog Nervoso,Hot Dog,"30,90","61,80",05/08/2024 18:46
3584,05/08/2024 18:20,segunda-feira,Delivery    ,2,Hot Dog Nervoso,Hot Dog,"30,90","61,80",05/08/2024 18:48
3651,07/08/2024 14:25,quarta-feira,Delivery    ,1,Hot Dog Nervoso,Hot Dog,"30,90","30,90",07/08/2024 15:14
3651,07/08/2024 14:25,quarta-feira,Delivery    ,1,Coca-Cola Original 350mL,Refrigerantes,"6,00","6,00",07/08/2024 15:14
3668,07/08/2024 18:29,quarta-feira,Delivery    ,2,Hot Dog Seladinho,Hot Dog,"23,90","47,80",07/08/2024 18:56
3673,08/08/2024 10:24,quinta-feira,Delivery    ,1,Hot Dog com Bacon e Catupiry,Hot Dog,"36,90","36,90",08/08/2024 10:56
3681,08/08/2024 12:19,quinta-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",08/08/2024 12:48
3682,08/08/2024 12:25,quinta-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",08/08/2024 12:52
3689,08/08/2024 14:12,quinta-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",08/08/2024 14:42
3691,08/08/2024 14:27,quinta-feira,Delivery    ,1,Hot Dog Nervoso,Hot Dog,"30,90","30,90",08/08/2024 15:06
3692,08/08/2024 14:47,quinta-feira,Delivery    ,2,Hot Dog Seladinho,Hot Dog,"23,90","47,80",08/08/2024 15:23
3698,08/08/2024 15:52,quinta-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",08/08/2024 17:28
3708,08/08/2024 18:01,quinta-feira,Delivery    ,2,Hot Dog Simples,Hot Dog,"20,90","41,80",08/08/2024 18:52
3708,08/08/2024 18:01,quinta-feira,Delivery    ,1,Hot Dog Simples,Hot Dog,"20,90","20,90",08/08/2024 18:52
3713,08/08/2024 18:45,quinta-feira,Delivery    ,2,Hot Dog Seladinho,Hot Dog,"23,90","47,80",08/08/2024 19:10
3713,08/08/2024 18:45,quinta-feira,Delivery    ,2,Salsicha,Complemento,"4,00","8,00",08/08/2024 19:10
3732,09/08/2024 12:54,sexta-feira,Delivery    ,1,Hot Dog Nervoso,Hot Dog,"30,90","30,90",09/08/2024 13:59
3738,09/08/2024 13:50,sexta-feira,Delivery    ,1,Hot Dog Nervoso,Hot Dog,"30,90","30,90",09/08/2024 14:57
3738,09/08/2024 13:50,sexta-feira,Delivery    ,2,Coca-Cola Original 350mL,Refrigerantes,"6,00","12,00",09/08/2024 14:57
3759,09/08/2024 17:36,sexta-feira,Delivery    ,1,Hot Dog Nervoso,Hot Dog,"30,90","30,90",09/08/2024 18:30
3786,13/08/2024 11:42,terça-feira,Delivery    ,1,Hot Dog Nervoso,Hot Dog,"30,90","30,90",13/08/2024 13:00
3786,13/08/2024 11:42,terça-feira,Delivery    ,1,Bacon 60g,Complemento,"8,00","8,00",13/08/2024 13:00
3790,13/08/2024 12:21,terça-feira,Delivery    ,1,Hot Dog com Bacon e Catupiry,Hot Dog,"36,90","36,90",13/08/2024 13:00
3790,13/08/2024 12:21,terça-feira,Delivery    ,1,Fanta Uva 350mL,Refrigerantes,"6,00","6,00",13/08/2024 13:00
3794,13/08/2024 12:41,terça-feira,Delivery    ,1,Hot Dog com Bacon e Catupiry,Hot Dog,"36,90","36,90",13/08/2024 13:21
3809,13/08/2024 17:58,terça-feira,Delivery    ,1,Hot Dog Simples,Hot Dog,"20,90","20,90",13/08/2024 18:33
3809,13/08/2024 17:58,terça-feira,Delivery    ,1,Salsicha,Complemento,"4,00","4,00",13/08/2024 18:33
3809,13/08/2024 17:58,terça-feira,Delivery    ,1,Bacon 60g,Complemento,"8,00","8,00",13/08/2024 18:33
3809,13/08/2024 17:58,terça-feira,Delivery    ,2,Hot Dog Nervoso,Hot Dog,"30,90","61,80",13/08/2024 18:33
3811,14/08/2024 11:10,quarta-feira,Delivery    ,1,Hot Dog Nervoso,Hot Dog,"30,90","30,90",14/08/2024 11:36
3820,14/08/2024 12:39,quarta-feira,Delivery    ,1,Hot Dog Nervoso,Hot Dog,"30,90","30,90",14/08/2024 13:15
3828,14/08/2024 13:35,quarta-feira,Delivery    ,1,Hot Dog Nervoso,Hot Dog,"30,90","30,90",14/08/2024 14:18
3849,15/08/2024 10:24,quinta-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",15/08/2024 11:05
3850,15/08/2024 10:42,quinta-feira,Delivery    ,1,Coca-Cola Original 200mL,Refrigerantes,"3,00","3,00",15/08/2024 11:15
3850,15/08/2024 10:42,quinta-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",15/08/2024 11:15
3858,15/08/2024 11:44,quinta-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",15/08/2024 12:16
3858,15/08/2024 11:44,quinta-feira,Delivery    ,1,Salsicha,Complemento,"4,00","4,00",15/08/2024 12:16
3886,15/08/2024 17:59,quinta-feira,Delivery    ,1,Hot Dog com Bacon e Catupiry,Hot Dog,"36,90","36,90",15/08/2024 18:38
3886,15/08/2024 17:59,quinta-feira,Delivery    ,1,Guaraná Antárctica 200mL,Refrigerantes,"3,00","3,00",15/08/2024 18:38
3888,15/08/2024 18:17,quinta-feira,Delivery    ,2,Hot Dog Seladinho,Hot Dog,"23,90","47,80",15/08/2024 19:02
3894,16/08/2024 10:58,sexta-feira,Delivery    ,1,Hot Dog com Bacon e Catupiry,Hot Dog,"36,90","36,90",16/08/2024 11:40
3894,16/08/2024 10:58,sexta-feira,Delivery    ,1,Fanta Laranja 350mL,Refrigerantes,"6,00","6,00",16/08/2024 11:40
3894,16/08/2024 10:58,sexta-feira,Delivery    ,1,Coca-Cola Zero 350mL,Refrigerantes,"6,00","6,00",16/08/2024 11:40
3894,16/08/2024 10:58,sexta-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",16/08/2024 11:40
3896,16/08/2024 11:15,sexta-feira,Delivery    ,1,Hot Dog Catupiry,Hot Dog,"28,90","28,90",16/08/2024 11:50
3896,16/08/2024 11:15,sexta-feira,Delivery    ,1,Coca-Cola Original 600mL,Refrigerantes,"8,00","8,00",16/08/2024 11:50
3985,19/08/2024 18:32,segunda-feira,Delivery    ,1,Hot Dog Nervoso,Hot Dog,"30,90","30,90",19/08/2024 18:53
3986,19/08/2024 18:40,segunda-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",19/08/2024 18:54
3995,20/08/2024 12:28,terça-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",20/08/2024 13:00
3995,20/08/2024 12:28,terça-feira,Delivery    ,1,Bacon 60g,Complemento,"8,00","8,00",20/08/2024 13:00
3995,20/08/2024 12:28,terça-feira,Delivery    ,1,Coca-Cola Original 200mL,Refrigerantes,"3,00","3,00",20/08/2024 13:00
4002,20/08/2024 13:38,terça-feira,Delivery    ,1,Coca-Cola Original 200mL,Refrigerantes,"3,00","3,00",20/08/2024 14:09
4002,20/08/2024 13:38,terça-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",20/08/2024 14:09
4009,20/08/2024 15:39,terça-feira,Delivery    ,1,Hot Dog Simples,Hot Dog,"20,90","20,90",20/08/2024 16:18
4009,20/08/2024 15:39,terça-feira,Delivery    ,1,Bacon 60g,Complemento,"8,00","8,00",20/08/2024 16:18
4009,20/08/2024 15:39,terça-feira,Delivery    ,1,Hot Dog Simples,Hot Dog,"20,90","20,90",20/08/2024 16:18
4013,20/08/2024 17:01,terça-feira,Delivery    ,1,Hot Dog Catupiry,Hot Dog,"28,90","28,90",20/08/2024 17:34
4021,20/08/2024 18:32,terça-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",20/08/2024 19:02
4021,20/08/2024 18:32,terça-feira,Delivery    ,1,Hot Dog com Bacon e Catupiry,Hot Dog,"36,90","36,90",20/08/2024 19:02
4021,20/08/2024 18:32,terça-feira,Delivery    ,2,Hot Dog Simples,Hot Dog,"20,90","41,80",20/08/2024 19:02
4043,21/08/2024 14:34,quarta-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",21/08/2024 14:59
4043,21/08/2024 14:34,quarta-feira,Delivery    ,1,Coca-Cola Zero 350mL,Refrigerantes,"6,00","6,00",21/08/2024 14:59
4050,21/08/2024 18:27,quarta-feira,Delivery    ,2,Hot Dog Nervoso,Hot Dog,"30,90","61,80",21/08/2024 18:53
4050,21/08/2024 18:27,quarta-feira,Delivery    ,2,Coca-Cola Original 600mL,Refrigerantes,"8,00","16,00",21/08/2024 18:53
4052,21/08/2024 18:33,quarta-feira,Delivery    ,1,Hot Dog com Bacon e Catupiry,Hot Dog,"36,90","36,90",21/08/2024 19:01
4053,21/08/2024 18:34,quarta-feira,Delivery    ,2,Hot Dog Simples,Hot Dog,"20,90","41,80",21/08/2024 19:02
4059,22/08/2024 11:28,quinta-feira,Delivery    ,1,Hot Dog com Bacon e Catupiry,Hot Dog,"36,90","36,90",22/08/2024 12:07
4092,22/08/2024 18:23,quinta-feira,Delivery    ,3,Hot Dog Nervoso,Hot Dog,"30,90","92,70",22/08/2024 18:50
4092,22/08/2024 18:23,quinta-feira,Delivery    ,1,Coca-Cola Zero 200mL,Refrigerantes,"3,00","3,00",22/08/2024 18:50
4096,23/08/2024 10:34,sexta-feira,Delivery    ,1,Hot Dog com Bacon e Catupiry,Hot Dog,"36,90","36,90",23/08/2024 11:15
4096,23/08/2024 10:34,sexta-feira,Delivery    ,1,Coca-Cola Zero 350mL,Refrigerantes,"6,00","6,00",23/08/2024 11:15
4139,23/08/2024 17:47,sexta-feira,Delivery    ,3,Hot Dog Seladinho,Hot Dog,"23,90","71,70",23/08/2024 18:56
4140,23/08/2024 18:01,sexta-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",23/08/2024 18:56
4140,23/08/2024 18:01,sexta-feira,Delivery    ,1,Hot Dog com Bacon e Catupiry,Hot Dog,"36,90","36,90",23/08/2024 18:56
4155,24/08/2024 11:09,sábado,Delivery    ,1,Hot Dog com Bacon e Catupiry,Hot Dog,"36,90","36,90",24/08/2024 11:26
4155,24/08/2024 11:09,sábado,Delivery    ,1,Guaraná Antárctica 200mL,Refrigerantes,"3,00","3,00",24/08/2024 11:26
4170,26/08/2024 11:21,segunda-feira,Delivery    ,2,Hot Dog Seladinho,Hot Dog,"23,90","47,80",26/08/2024 12:24
4175,26/08/2024 12:14,segunda-feira,Delivery    ,1,Hot Dog Catupiry,Hot Dog,"28,90","28,90",26/08/2024 12:50
4175,26/08/2024 12:14,segunda-feira,Delivery    ,1,Coca-Cola Zero 350mL,Refrigerantes,"6,00","6,00",26/08/2024 12:50
4185,26/08/2024 17:45,segunda-feira,Delivery    ,1,Hot Dog Simples,Hot Dog,"20,90","20,90",26/08/2024 18:23
4185,26/08/2024 17:45,segunda-feira,Delivery    ,2,Bacon 60g,Complemento,"8,00","16,00",26/08/2024 18:23
4185,26/08/2024 17:45,segunda-feira,Delivery    ,1,Hot Dog Simples,Hot Dog,"20,90","20,90",26/08/2024 18:23
4185,26/08/2024 17:45,segunda-feira,Delivery    ,2,Bacon 60g,Complemento,"8,00","16,00",26/08/2024 18:23
4187,26/08/2024 18:04,segunda-feira,Delivery    ,2,Hot Dog Nervoso,Hot Dog,"30,90","61,80",26/08/2024 18:47
4192,26/08/2024 18:31,segunda-feira,Delivery    ,1,Hot Dog Nervoso,Hot Dog,"30,90","30,90",26/08/2024 19:20
4218,27/08/2024 13:16,terça-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",27/08/2024 13:49
4249,28/08/2024 12:35,quarta-feira,Delivery    ,1,Hot Dog com Bacon e Catupiry,Hot Dog,"36,90","36,90",28/08/2024 13:04
4249,28/08/2024 12:35,quarta-feira,Delivery    ,1,Fanta Uva 350mL,Refrigerantes,"6,00","6,00",28/08/2024 13:04
4252,28/08/2024 13:12,quarta-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",28/08/2024 13:38
4259,28/08/2024 16:38,quarta-feira,Delivery    ,1,Hot Dog com Bacon e Catupiry,Hot Dog,"36,90","36,90",28/08/2024 17:06
4268,28/08/2024 18:40,quarta-feira,Delivery    ,2,Hot Dog Seladinho,Hot Dog,"23,90","47,80",28/08/2024 19:02
4268,28/08/2024 18:40,quarta-feira,Delivery    ,1,Coca-Cola Original 200mL,Refrigerantes,"3,00","3,00",28/08/2024 19:02
4273,29/08/2024 10:55,quinta-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",29/08/2024 12:01
4273,29/08/2024 10:55,quinta-feira,Delivery    ,1,Salsicha,Complemento,"4,00","4,00",29/08/2024 12:01
4273,29/08/2024 10:55,quinta-feira,Delivery    ,1,Guaraná Antárctica 350mL,Refrigerantes,"6,00","6,00",29/08/2024 12:01
4278,29/08/2024 11:46,quinta-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",29/08/2024 12:17
4278,29/08/2024 11:46,quinta-feira,Delivery    ,1,Bacon 60g,Complemento,"8,00","8,00",29/08/2024 12:17
4285,29/08/2024 12:26,quinta-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",29/08/2024 12:55
4294,29/08/2024 15:03,quinta-feira,Delivery    ,1,Hot Dog Catupiry,Hot Dog,"28,90","28,90",29/08/2024 15:43
4294,29/08/2024 15:03,quinta-feira,Delivery    ,1,Coca-Cola Original 600mL,Refrigerantes,"8,00","8,00",29/08/2024 15:43
4296,29/08/2024 15:55,quinta-feira,Delivery    ,2,Hot Dog Simples,Hot Dog,"20,90","41,80",29/08/2024 16:26
4297,29/08/2024 16:25,quinta-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",29/08/2024 17:13
4297,29/08/2024 16:25,quinta-feira,Delivery    ,1,Salsicha,Complemento,"4,00","4,00",29/08/2024 17:13
4302,29/08/2024 17:27,quinta-feira,Delivery    ,1,Hot Dog Nervoso,Hot Dog,"30,90","30,90",29/08/2024 18:14
4304,29/08/2024 18:27,quinta-feira,Delivery    ,1,Hot Dog Nervoso,Hot Dog,"30,90","30,90",29/08/2024 18:52
4317,30/08/2024 11:52,sexta-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",30/08/2024 12:29
4323,30/08/2024 12:36,sexta-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",30/08/2024 12:57
4340,30/08/2024 14:29,sexta-feira,Delivery    ,1,Hot Dog Seladinho,Hot Dog,"23,90","23,90",30/08/2024 15:15
